Year,Mo,Dy,Hr,Mn,Sec,Val,Tsunami Cause Code,Tsu SRC,mag,Volcano,Tsu Runup,Doubtful Runup,Country,State,Name,lat,long,Distance from Source,Arrival Day,Arrival Hour,Arrival Min,Travel Hour,Travel Min,Max Water Height,Max Inundation Distance,Type,Per,1st Mtn,Num Deaths,Inf Deaths,Num Injuries,Inf Injuries,Mill Damage,Inf Damage,Num House Destroyed,Inf House Destroyed,Num House Damaged,Inf House Damaged,gid,timestamp,timestamp2
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HIGASHIUTABETSU,41.983,143.167,59.0,4.0,1.0,59.0,0.0,37.0,2.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HIRAU,42.117,142.967,73.0,4.0,2.0,3.0,0.0,40.0,1.3,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HIROO,42.284,143.319,46.0,4.0,2.0,13.0,0.0,50.0,0.9,,2.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HIROO,42.45,143.383,51.0,,,,0.0,5.0,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HISHASHI-UTABETSU,41.983,143.167,59.0,,,,,,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HOROIZUMI,42.017,143.15,60.0,4.0,2.0,30.0,1.0,7.0,2.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,HOROMAN,42.067,143.033,68.0,4.0,1.0,59.0,0.0,37.0,1.8,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,KIRITAPPU,43.083,145.133,148.0,4.0,1.0,55.0,0.0,32.0,3.2,,1.0,,,,,,,,2.0,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,KOMBUMORI,42.95,144.53,105.0,,,,,,3.8,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,KOMONBETSU,42.417,143.4,47.0,4.0,1.0,28.0,0.0,5.0,3.25,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,KONBUMORI,42.95,144.533,105.0,,,,,,5.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,KUSHIRO,42.9756,144.3714,101.0,4.0,1.0,58.0,0.0,35.0,0.45,,2.0,40.0,R,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,KUSHIRO (KUSHIRO CITY),42.983,144.383,102.0,,,,,,1.4,,1.0,,,,,,,,1.0,58.0,2.0,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,MEGURO,42.117,143.317,44.0,4.0,1.0,50.0,0.0,27.0,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,MITSUISHI,42.25,142.567,106.0,4.0,2.0,59.0,1.0,37.0,2.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,MOMBETSU (MOMBETSUCHO),42.467,142.083,150.0,4.0,3.0,29.0,2.0,7.0,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,MONSHIZU,43.05,144.783,126.0,,,,,,3.91,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,MURORAN,42.35,140.95,240.0,4.0,2.0,,1.0,0.0,0.2,,2.0,60.0,R,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,NAGAFUSA,,,,4.0,2.0,30.0,1.0,7.0,,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,HOKKAIDO,NAKANOBANYA,42.6,143.533,56.0,4.0,2.0,20.0,0.0,57.0,3.16,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
