time,latitude,longitude,depth,mag,place,type,Year,Mo,Dy,Date,timestamp,Hr,Mn,Sec,Val,Tsunami Cause Code,Focal Depth (km),Vol,Deposits,Country,Area,Region,Location Name,lat,long,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Missing,Injuries,Damage ($Mil),_merge,gid,Max Distance,timestamp2
,,,,7.1,,,1966.0,6.0,15.0,,1966-06-15,0.0,59.0,42.7,3.0,1.0,31.0,,0.0,SOLOMON ISLANDS,,82.0,SOLOMON ISLANDS,-10.343,160.88299999999998,0.2,3.0,,0.5,1.0,,,,,right_only,88,144.0,1966-06-15
,,,,8.1,,,1966.0,10.0,17.0,,1966-10-17,21.0,41.0,56.0,4.0,1.0,38.0,,0.0,PERU,,89.0,CENTRAL PERU,-10.748,-78.638,3.0,60.0,,-1.0,1.5,,,,2.0,right_only,89,16160.0,1966-10-17
,,,,7.8,,,1966.0,12.0,28.0,,1966-12-28,8.0,18.0,7.4,4.0,1.0,47.0,,0.0,CHILE,,89.0,NORTHERN CHILE,-25.5,-70.7,0.42,13.0,,,0.5,,,,,right_only,90,14129.0,1966-12-28
,,,,7.8,,,1966.0,12.0,31.0,,1966-12-31,18.0,23.0,11.1,4.0,1.0,83.0,,0.0,SOLOMON ISLANDS,,82.0,SANTA CRUZ ISLANDS,-11.892999999999999,166.445,2.0,7.0,,,1.0,,,,,right_only,91,8834.0,1966-12-31
,,,,7.2,,,1966.0,12.0,31.0,,1966-12-31,22.0,15.0,16.6,4.0,1.0,23.0,,0.0,SOLOMON ISLANDS,,82.0,SANTA CRUZ ISLANDS,-12.334000000000001,166.68400000000003,0.8,1.0,,,0.0,,,,,right_only,92,85.0,1966-12-31
,,,,5.5,,,1967.0,4.0,11.0,,1967-04-11,5.0,9.0,12.1,3.0,1.0,33.0,,0.0,INDONESIA,,83.0,MAKASSAR STRAIT,-3.7,119.3,,2.0,,1.6,1.0,13.0,,,,right_only,93,37.0,1967-04-11
,,,,6.1,,,1967.0,4.0,12.0,,1967-04-12,4.0,51.0,50.2,3.0,1.0,100.0,,0.0,INDONESIA,,60.0,NORTHEAST SUMATRA,5.5,97.3,,1.0,,1.0,1.5,,,,,right_only,94,154.0,1967-04-12
,,,,6.5,,,1967.0,7.0,29.0,,1967-07-29,23.0,59.0,58.7,4.0,1.0,10.0,,0.0,VENEZUELA,,74.0,CARACAS,10.6,-67.3,0.08,1.0,,,,,,,,right_only,95,40.0,1967-07-29
,,,,6.4,,,1967.0,8.0,13.0,,1967-08-13,22.0,15.0,10.0,4.0,1.0,30.0,,0.0,PAPUA NEW GUINEA,,82.0,BISMARCK SEA,-4.4,152.5,0.1,1.0,,-3.3,,,,,,right_only,96,41.0,1967-08-13
,,,,7.0,,,1967.0,9.0,3.0,,1967-09-03,,,,2.0,1.0,40.0,,0.0,PERU,,89.0,CENTRAL PERU,-10.6,-79.8,2.0,2.0,,1.0,-1.5,,,,,right_only,96,,1967-09-03
,,,,7.5,,,1967.0,12.0,21.0,,1967-12-21,2.0,25.0,23.0,3.0,1.0,33.0,,0.0,CHILE,,89.0,NORTHERN CHILE,-21.7,-69.5,,1.0,,-0.5,0.0,,,,,right_only,97,83.0,1967-12-21
,,,,7.3,,,1968.0,1.0,29.0,,1968-01-29,10.0,19.0,7.2,4.0,1.0,40.0,,0.0,RUSSIA,,86.0,S. KURIL ISLANDS,43.586000000000006,146.701,0.18,17.0,,-1.7,-1.0,,,,,right_only,98,2199.0,1968-01-29
,,,,7.5,,,1968.0,4.0,1.0,,1968-04-01,0.0,42.0,4.2,4.0,1.0,30.0,,0.0,JAPAN,,85.0,SEIKAIDO,32.3,132.5,3.07,62.0,,1.3,1.0,,,,,right_only,99,7957.0,1968-04-01
,,,,4.6,,,1968.0,4.0,18.0,,1968-04-18,19.0,38.0,15.0,4.0,1.0,7.0,,0.0,ITALY,,50.0,LIGURIA-COTE D'AZUR,44.08,8.0,3.0,1.0,,,2.0,,,,,right_only,100,16.0,1968-04-18
,,,,8.2,,,1968.0,5.0,16.0,,1968-05-16,0.0,48.0,55.4,4.0,1.0,7.0,,1.0,JAPAN,,85.0,OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,6.0,329.0,,2.3,2.0,52.0,,,,right_only,101,10895.0,1968-05-16
,,,,7.5,,,1968.0,5.0,16.0,,1968-05-16,10.0,39.0,1.6,4.0,1.0,33.0,,0.0,JAPAN,,85.0,OFF COAST OF HONSHU ISLAND,41.5,142.7,0.58,8.0,,,-0.5,,,,,right_only,102,370.0,1968-05-16
,,,,7.2,,,1968.0,6.0,12.0,,1968-06-12,13.0,41.0,50.7,4.0,1.0,44.0,,0.0,JAPAN,,85.0,SANRIKU,39.4,143.1,0.95,28.0,,1.6,0.0,,,,,right_only,103,1400.0,1968-06-12
